time	V(1)	V(3)
1.204930080546733e-007	0.000000e+000	-1.880547e-002
1.206883205546733e-007	0.000000e+000	-1.425063e-002
1.208836330546733e-007	0.000000e+000	-9.994560e-003
1.210789455546733e-007	0.000000e+000	-6.077750e-003
1.212742580546733e-007	0.000000e+000	-2.529593e-003
1.214695705546733e-007	0.000000e+000	6.307724e-004
1.216648830546733e-007	0.000000e+000	3.393563e-003
1.218601955546733e-007	0.000000e+000	5.757383e-003
1.220555080546733e-007	0.000000e+000	7.728222e-003
1.222508205546733e-007	0.000000e+000	9.318448e-003
1.224461330546733e-007	0.000000e+000	1.054580e-002
1.226414455546733e-007	0.000000e+000	1.143242e-002
1.228367580546733e-007	0.000000e+000	1.200391e-002
1.230320705546733e-007	0.000000e+000	1.228842e-002
1.232273830546733e-007	0.000000e+000	1.231589e-002
1.234226955546733e-007	0.000000e+000	1.211721e-002
1.236180080546733e-007	0.000000e+000	1.172363e-002
1.238133205546733e-007	0.000000e+000	1.116607e-002
1.240086330546733e-007	0.000000e+000	1.047465e-002
1.242039455546733e-007	0.000000e+000	9.678239e-003
1.243992580546733e-007	0.000000e+000	8.804072e-003
1.245945705546734e-007	0.000000e+000	7.877463e-003
1.247898830546734e-007	0.000000e+000	6.921581e-003
1.249851955546734e-007	0.000000e+000	5.957292e-003
1.251805080546734e-007	0.000000e+000	5.003069e-003
1.253758205546734e-007	0.000000e+000	4.074941e-003
1.255711330546734e-007	0.000000e+000	3.186510e-003
1.257664455546734e-007	0.000000e+000	2.348995e-003
1.259617580546734e-007	0.000000e+000	1.571325e-003
1.261570705546734e-007	0.000000e+000	8.602544e-004
1.263523830546734e-007	0.000000e+000	2.205084e-004
1.265476955546734e-007	0.000000e+000	-3.450560e-004
1.267430080546734e-007	0.000000e+000	-8.352723e-004
1.269383205546734e-007	0.000000e+000	-1.250480e-003
1.271336330546734e-007	0.000000e+000	-1.592333e-003
1.273289455546734e-007	0.000000e+000	-1.863612e-003
1.275242580546734e-007	0.000000e+000	-2.068032e-003
1.277195705546734e-007	0.000000e+000	-2.210066e-003
1.279148830546734e-007	0.000000e+000	-2.294766e-003
1.281101955546734e-007	0.000000e+000	-2.327607e-003
1.283055080546734e-007	0.000000e+000	-2.314331e-003
1.285008205546734e-007	0.000000e+000	-2.260813e-003
1.286961330546734e-007	0.000000e+000	-2.172939e-003
1.288914455546735e-007	0.000000e+000	-2.056495e-003
1.290867580546735e-007	0.000000e+000	-1.917080e-003
1.292820705546735e-007	0.000000e+000	-1.760022e-003
1.294773830546735e-007	0.000000e+000	-1.590317e-003
1.296726955546735e-007	0.000000e+000	-1.412582e-003
1.298680080546735e-007	0.000000e+000	-1.231012e-003
1.300633205546735e-007	0.000000e+000	-1.049360e-003
1.302586330546735e-007	0.000000e+000	-8.709218e-004
1.304539455546735e-007	0.000000e+000	-6.985331e-004
1.306492580546735e-007	0.000000e+000	-5.345728e-004
1.308445705546735e-007	0.000000e+000	-3.809769e-004
1.310398830546735e-007	0.000000e+000	-2.392573e-004
1.312351955546735e-007	0.000000e+000	-1.105265e-004
1.314305080546735e-007	0.000000e+000	4.473961e-006
1.316258205546735e-007	0.000000e+000	1.053416e-004
1.318211330546735e-007	0.000000e+000	1.919788e-004
1.320164455546735e-007	0.000000e+000	2.645570e-004
1.322117580546735e-007	0.000000e+000	3.234814e-004
1.324070705546735e-007	0.000000e+000	3.693543e-004
1.326023830546735e-007	0.000000e+000	4.029407e-004
1.327976955546735e-007	0.000000e+000	4.251345e-004
1.329930080546736e-007	0.000000e+000	4.369261e-004
1.331883205546736e-007	0.000000e+000	4.393733e-004
1.333836330546736e-007	0.000000e+000	4.335736e-004
1.335789455546736e-007	0.000000e+000	4.206398e-004
1.337742580546736e-007	0.000000e+000	4.016773e-004
1.339695705546736e-007	0.000000e+000	3.777659e-004
1.341648830546736e-007	0.000000e+000	3.499428e-004
1.343601955546736e-007	0.000000e+000	3.191893e-004
1.345555080546736e-007	0.000000e+000	2.864197e-004
1.347508205546736e-007	0.000000e+000	2.524732e-004
1.349461330546736e-007	0.000000e+000	2.181076e-004
1.351414455546736e-007	0.000000e+000	1.839958e-004
1.353367580546736e-007	0.000000e+000	1.507238e-004
1.355320705546736e-007	0.000000e+000	1.187908e-004
1.357273830546736e-007	0.000000e+000	8.861098e-005
1.359226955546736e-007	0.000000e+000	6.051590e-005
1.361180080546736e-007	0.000000e+000	3.475908e-005
1.363133205546736e-007	0.000000e+000	1.152072e-005
1.365086330546736e-007	0.000000e+000	-9.086543e-006
1.367039455546736e-007	0.000000e+000	-2.701144e-005
1.368992580546736e-007	0.000000e+000	-4.225748e-005
1.370945705546737e-007	0.000000e+000	-5.487622e-005
1.372898830546737e-007	0.000000e+000	-6.496042e-005
1.374851955546737e-007	0.000000e+000	-7.263735e-005
1.376805080546737e-007	0.000000e+000	-7.806231e-005
1.378758205546737e-007	0.000000e+000	-8.141232e-005
1.380711330546737e-007	0.000000e+000	-8.288032e-005
1.382664455546737e-007	0.000000e+000	-8.266973e-005
1.384617580546737e-007	0.000000e+000	-8.098946e-005
1.386570705546737e-007	0.000000e+000	-7.804947e-005
1.388523830546737e-007	0.000000e+000	-7.405688e-005
1.390476955546737e-007	0.000000e+000	-6.921252e-005
1.392430080546737e-007	0.000000e+000	-6.370812e-005
1.394383205546737e-007	0.000000e+000	-5.772388e-005
1.396336330546737e-007	0.000000e+000	-5.142668e-005
1.398289455546737e-007	0.000000e+000	-4.496867e-005
1.400242580546737e-007	0.000000e+000	-3.848634e-005
1.402195705546737e-007	0.000000e+000	-3.209990e-005
1.404148830546737e-007	0.000000e+000	-2.591315e-005
1.406101955546737e-007	0.000000e+000	-2.001363e-005
1.408055080546737e-007	0.000000e+000	-1.447294e-005
1.410008205546737e-007	0.000000e+000	-9.347460e-006
1.411961330546738e-007	0.000000e+000	-4.679179e-006
1.413914455546738e-007	0.000000e+000	-4.966727e-007
1.415867580546738e-007	0.000000e+000	3.183758e-006
1.417820705546738e-007	0.000000e+000	6.356886e-006
