2.5n 0.6272m
1.11248e+06n 0.00853331m
1.11248e+06n 0.185507m
1.11249e+06n 0.728299m
1.11249e+06n 0.729041m
1.1125e+06n 0.193298m
1.1125e+06n 0.0100174m
1.11256e+06n 0m
1.11485e+06n 0.0643699m
1.11486e+06n 1.0277m
1.11486e+06n 4.07898m
1.11487e+06n 4.03977m
1.11487e+06n 1.07098m
1.11488e+06n 0.0739884m
1.11488e+06n 0.000739884m
1.11494e+06n 0m
1.11524e+06n 0.00147962m
1.11525e+06n 0.03847m
1.11525e+06n 0.145372m
1.11526e+06n 0.144263m
1.11526e+06n 0.0381001m
1.11527e+06n 0.00221942m
1.11532e+06n 0m
1.11797e+06n 0.0310271m
1.11798e+06n 0.521921m
1.11798e+06n 2.00753m
1.11799e+06n 2.06921m
1.11799e+06n 0.507885m
1.118e+06n 0.032874m
1.118e+06n 0.000369371m
1.11806e+06n 0m
1.12044e+06n 0.0125496m
1.12045e+06n 0.244716m
1.12045e+06n 1.03386m
1.12046e+06n 1.01725m
1.12046e+06n 0.25542m
1.12047e+06n 0.0195625m
1.12047e+06n 0.000369105m
1.12053e+06n 0m
1.12231e+06n 0.0438423m
1.12232e+06n 0.66316m
1.12232e+06n 2.62648m
1.12233e+06n 2.59922m
1.12233e+06n 0.661687m
1.12234e+06n 0.0364738m
1.12234e+06n 0.000368422m
1.1224e+06n 0m
1.12558e+06n 0.0342141m
1.12559e+06n 0.541907m
1.12559e+06n 2.04549m
1.1256e+06n 1.99803m
1.1256e+06n 0.499599m
1.12561e+06n 0.0301673m
1.12566e+06n 0m
1.12619e+06n 0.0337873m
1.12619e+06n 0.613313m
1.1262e+06n 2.46317m
1.1262e+06n 2.44995m
1.12621e+06n 0.643795m
1.12621e+06n 0.0378271m
1.12622e+06n 0.000734506m
1.12627e+06n 0m
1.13e+06n 0m
1.13158e+06n 0.0651975m
1.13158e+06n 0.962213m
1.13158e+06n 3.75142m
1.13159e+06n 3.72505m
1.1316e+06n 0.957451m
1.1316e+06n 0.0604359m
1.1316e+06n 0.000366278m
1.13166e+06n 0m
1.13193e+06n 0.0124458m
1.13194e+06n 0.216338m
1.13194e+06n 0.871574m
1.13195e+06n 0.858396m
1.13195e+06n 0.217802m
1.13196e+06n 0.0183027m
1.13196e+06n 0.000732108m
1.13201e+06n 0m
1.13177e+06n 0.00585447m
1.13177e+06n 0.15368m
1.13178e+06n 0.570079m
1.13178e+06n 0.5763m
1.13179e+06n 0.148191m
1.13179e+06n 0.00951352m
1.13185e+06n 0m
1.13326e+06n 0.00548633m
1.13326e+06n 0.136793m
1.13327e+06n 0.581551m
1.13327e+06n 0.57643m
1.13328e+06n 0.151057m
1.13328e+06n 0.0117042m
1.13334e+06n 0m
1.13649e+06n 0.0536293m
1.1365e+06n 0.879229m
1.1365e+06n 3.56836m
1.1365e+06n 3.64679m
1.13651e+06n 0.913523m
1.13652e+06n 0.0569128m
1.13652e+06n 0.00109448m
1.13657e+06n 0m
1.13899e+06n 0.0189574m
1.13899e+06n 0.246082m
1.139e+06n 0.998181m
1.139e+06n 1.01896m
1.13901e+06n 0.252644m
1.13901e+06n 0.0171346m
1.13907e+06n 0m
1.1415e+06n 0.0149366m
1.1415e+06n 0.258658m
1.14151e+06n 1.00075m
1.14151e+06n 0.983628m
1.14152e+06n 0.274687m
1.14152e+06n 0.0171224m
1.14153e+06n 0.000364307m
1.14158e+06n 0m
1.1432e+06n 0.00473503m
1.1432e+06n 0.0702969m
1.14321e+06n 0.29175m
1.14321e+06n 0.278274m
1.14322e+06n 0.0772173m
1.14322e+06n 0.00619196m
1.14328e+06n 0m
1.14465e+06n 0.0729515m
1.14465e+06n 1.25361m
1.14466e+06n 5.04781m
1.14466e+06n 4.97849m
1.14467e+06n 1.27103m
1.14467e+06n 0.0773069m
1.14468e+06n 0.00108883m
1.14473e+06n 0m
1.1463e+06n 0.0293627m
1.14631e+06n 0.422316m
1.14631e+06n 1.72189m
1.14632e+06n 1.70666m
1.14632e+06n 0.445878m
1.14633e+06n 0.0228377m
1.14633e+06n 0.000725006m
1.14639e+06n 0m
1.14701e+06n 0.0213661m
1.14701e+06n 0.362861m
1.14702e+06n 1.43877m
1.14702e+06n 1.40763m
1.14703e+06n 0.36612m
1.14703e+06n 0.023901m
1.14704e+06n 0.000724274m
1.14709e+06n 0m
1.14872e+06n 0.0872935m
1.14873e+06n 1.41148m
1.14873e+06n 5.55396m
1.14874e+06n 5.50959m
1.14874e+06n 1.40824m
1.14875e+06n 0.0952292m
1.14875e+06n 0.00180358m
1.14881e+06n 0m
1.15093e+06n 0.0776338m
1.15094e+06n 1.30648m
1.15094e+06n 5.094m
1.15095e+06n 5.12563m
1.15095e+06n 1.25544m
1.15096e+06n 0.0794309m
1.15096e+06n 0.000359416m
1.15101e+06n 0m
1.15356e+06n 0.0548642m
1.15356e+06n 0.802523m
1.15357e+06n 3.23914m
1.15357e+06n 3.26316m
1.15358e+06n 0.8287m
1.15358e+06n 0.0577329m
1.15359e+06n 0.000717179m
1.15364e+06n 0m
1.15469e+06n 0.0636254m
1.1547e+06n 1.12024m
1.1547e+06n 4.47165m
1.15471e+06n 4.60212m
1.15471e+06n 1.0995m
1.15472e+06n 0.0786381m
1.15472e+06n 0.00142978m
1.15478e+06n 0m
1.15686e+06n 0.0509979m
1.15686e+06n 0.807764m
1.15687e+06n 3.22107m
1.15687e+06n 3.25673m
1.15688e+06n 0.81347m
1.15688e+06n 0.0509979m
1.15689e+06n 0.000713257m
1.15694e+06n 0m
1.15819e+06n 0.0324178m
1.1582e+06n 0.390438m
1.1582e+06n 1.54928m
1.15821e+06n 1.5304m
1.15821e+06n 0.390438m
1.15822e+06n 0.025293m
1.15822e+06n 0.000356239m
1.15827e+06n 0m
1.16037e+06n 0.00106861m
1.16038e+06n 0.034908m
1.16038e+06n 0.142838m
1.16039e+06n 0.137851m
1.16039e+06n 0.0377576m
1.1604e+06n 0.00178102m
1.16045e+06n 0m
1.16195e+06n 0.0121049m
1.16195e+06n 0.179438m
1.16196e+06n 0.703509m
1.16196e+06n 0.692116m
1.16197e+06n 0.176945m
1.16197e+06n 0.0149531m
1.16198e+06n 0.00106808m
1.16203e+06n 0m
1.16454e+06n 0.226609m
1.16454e+06n 3.60777m
1.16455e+06n 14.2672m
1.16455e+06n 14.3549m
1.16456e+06n 3.61517m
1.16456e+06n 0.221675m
1.16457e+06n 0.00387667m
1.16457e+06n 0.000352424m
1.16462e+06n 0m
1.16668e+06n 0.00281912m
1.16668e+06n 0.0299531m
1.16669e+06n 0.142013m
1.16669e+06n 0.136375m
1.1667e+06n 0.0380581m
1.1667e+06n 0.00317151m
1.16676e+06n 0m
1.1686e+06n 0.0151423m
1.1686e+06n 0.248264m
1.16861e+06n 0.953616m
1.16861e+06n 0.975097m
1.16862e+06n 0.258124m
1.16862e+06n 0.0144381m
1.16868e+06n 0m
1.16954e+06n 0.0218096m
1.16955e+06n 0.39011m
1.16955e+06n 1.51928m
1.16956e+06n 1.51999m
1.16956e+06n 0.395035m
1.16957e+06n 0.0228649m
1.16963e+06n 0m
1.17315e+06n 0.00879075m
1.17316e+06n 0.141355m
1.17316e+06n 0.571398m
1.17317e+06n 0.545026m
1.17317e+06n 0.131861m
1.17318e+06n 0.00808749m
1.17324e+06n 0m
1.17642e+06n 0.0105437m
1.17643e+06n 0.167997m
1.17643e+06n 0.688857m
1.17644e+06n 0.700806m
1.17644e+06n 0.17608m
1.17645e+06n 0.0126525m
1.17651e+06n 0m
1.17877e+06n 0.052229m
1.17878e+06n 0.939772m
1.17878e+06n 3.72193m
1.17878e+06n 3.77171m
1.17879e+06n 0.923297m
1.1788e+06n 0.0536311m
1.1788e+06n 0.000701061m
1.17885e+06n 0m
1.18086e+06n 0.00560739m
1.18086e+06n 0.0704428m
1.18087e+06n 0.275113m
1.18087e+06n 0.275113m
1.18088e+06n 0.0704428m
1.18088e+06n 0.00420554m
1.18094e+06n 0m
1.183e+06n 0.0108569m
1.183e+06n 0.241653m
1.18301e+06n 0.966964m
1.18301e+06n 0.968365m
1.18302e+06n 0.249709m
1.18302e+06n 0.0136587m
1.18303e+06n 0.000350222m
1.18308e+06n 0m
1.18412e+06n 0.0440377m
1.18412e+06n 0.716836m
1.18412e+06n 2.84498m
1.18413e+06n 2.95402m
1.18414e+06n 0.73571m
1.18414e+06n 0.0433387m
1.18414e+06n 0.000349506m
1.1842e+06n 0m
1.18549e+06n 0.00559046m
1.18549e+06n 0.106918m
1.1855e+06n 0.417537m
1.1855e+06n 0.42173m
1.18551e+06n 0.0901461m
1.18551e+06n 0.00593986m
1.18552e+06n 0.000349404m
1.18557e+06n 0m
1.18881e+06n 0.0101278m
1.18882e+06n 0.172521m
1.18882e+06n 0.678561m
1.18883e+06n 0.692879m
1.18883e+06n 0.175315m
1.18884e+06n 0.016414m
1.18884e+06n 0.000349234m
1.18889e+06n 0m
1.19234e+06n 0.0425196m
1.19234e+06n 0.716908m
1.19234e+06n 2.87809m
1.19235e+06n 2.90423m
1.19236e+06n 0.731546m
1.19236e+06n 0.0453077m
1.19242e+06n 0m
1.19701e+06n 0.0504229m
1.19701e+06n 0.82624m
1.19702e+06n 3.15334m
1.19702e+06n 3.10049m
1.19703e+06n 0.814069m
1.19703e+06n 0.0528571m
1.19704e+06n 0.000347744m
1.19709e+06n 0m
1.19696e+06n 0.169396m
1.19696e+06n 2.86869m
1.19697e+06n 11.1353m
1.19697e+06n 11.1429m
1.19698e+06n 2.79831m
1.19698e+06n 0.169051m
1.19699e+06n 0.00345002m
1.19704e+06n 0m
1.19871e+06n 0.00827606m
1.19871e+06n 0.167935m
1.19872e+06n 0.674154m
1.19872e+06n 0.69381m
1.19873e+06n 0.162418m
1.19873e+06n 0.0172418m
1.19874e+06n 0.000344836m
1.19879e+06n 0m
1.20055e+06n 0.0227373m
1.20056e+06n 0.342782m
1.20056e+06n 1.38456m
1.20057e+06n 1.34081m
1.20057e+06n 0.329346m
1.20058e+06n 0.0248043m
1.20063e+06n 0m
1.20343e+06n 0.0216809m
1.20343e+06n 0.382341m
1.20344e+06n 1.48841m
1.20344e+06n 1.49392m
1.20345e+06n 0.374426m
1.20345e+06n 0.024434m
1.20351e+06n 0m
1.20626e+06n 0.216433m
1.20626e+06n 3.41316m
1.20627e+06n 13.6093m
1.20627e+06n 13.5265m
1.20628e+06n 3.44963m
1.20628e+06n 0.205185m
1.20629e+06n 0.00306755m
1.20634e+06n 0m
1.20953e+06n 0.0122632m
1.20953e+06n 0.204046m
1.20954e+06n 0.812778m
1.20954e+06n 0.805283m
1.20955e+06n 0.196552m
1.20955e+06n 0.0129445m
1.20961e+06n 0m
1.21085e+06n 0.0482707m
1.21086e+06n 0.761793m
1.21086e+06n 2.95743m
1.21087e+06n 2.92853m
1.21087e+06n 0.741737m
1.21088e+06n 0.0404522m
1.21088e+06n 0.000339934m
1.21094e+06n 0m
1.21278e+06n 0.0230937m
1.21278e+06n 0.351159m
1.21279e+06n 1.33162m
1.21279e+06n 1.33128m
1.2128e+06n 0.339273m
1.2128e+06n 0.0193579m
1.21286e+06n 0m
1.2182e+06n 0.00509322m
1.21821e+06n 0.0709656m
1.21821e+06n 0.264169m
1.21822e+06n 0.272997m
1.21822e+06n 0.0645142m
1.21823e+06n 0.00135819m
1.21828e+06n 0m
1.21986e+06n 0.00441329m
1.21987e+06n 0.0563543m
1.21987e+06n 0.279735m
1.21988e+06n 0.265137m
1.21988e+06n 0.0692547m
1.21989e+06n 0.00373432m
1.21989e+06n 0.000339484m
1.21994e+06n 0m
1.22103e+06n 0.00746582m
1.22104e+06n 0.140493m
1.22104e+06n 0.52125m
1.22105e+06n 0.539575m
1.22105e+06n 0.140493m
1.22106e+06n 0.00814453m
1.22112e+06n 0m
1.2228e+06n 0.0308405m
1.2228e+06n 0.474469m
1.22281e+06n 1.88398m
1.22281e+06n 1.84941m
1.22282e+06n 0.477181m
1.22282e+06n 0.0277903m
1.22283e+06n 0.000338907m
1.22288e+06n 0m
1.22372e+06n 0.0534211m
1.22373e+06n 0.87029m
1.22373e+06n 3.31819m
1.22374e+06n 3.31583m
1.22374e+06n 0.846961m
1.22375e+06n 0.0463208m
1.22375e+06n 0.000338108m
1.2238e+06n 0m
1.22575e+06n 0.0152048m
1.22575e+06n 0.236182m
1.22576e+06n 0.937631m
1.22576e+06n 0.920061m
1.22577e+06n 0.242602m
1.22577e+06n 0.0131775m
1.22583e+06n 0m
1.22753e+06n 0.0209311m
1.22754e+06n 0.293711m
1.22754e+06n 1.19746m
1.22755e+06n 1.18328m
1.22755e+06n 0.322407m
1.22756e+06n 0.0202559m
1.22762e+06n 0m
1.23035e+06n 0.0565729m
1.23035e+06n 0.927391m
1.23036e+06n 3.60955m
1.23036e+06n 3.55534m
1.23037e+06n 0.886645m
1.23037e+06n 0.0558994m
1.23038e+06n 0.000336743m
1.23043e+06n 0m
1.23142e+06n 0.0161531m
1.23143e+06n 0.225806m
1.23143e+06n 0.937551m
1.23144e+06n 0.934186m
1.23144e+06n 0.22547m
1.23145e+06n 0.0161531m
1.23151e+06n 0m
1.23274e+06n 0.0456728m
1.23275e+06n 0.728413m
1.23275e+06n 2.92809m
1.23276e+06n 2.88309m
1.23276e+06n 0.753936m
1.23277e+06n 0.0470161m
1.23277e+06n 0.000671658m
1.23283e+06n 0m
1.23497e+06n 0.00671344m
1.23498e+06n 0.166493m
1.23498e+06n 0.651539m
1.23499e+06n 0.672351m
1.23499e+06n 0.169179m
1.235e+06n 0.0120842m
1.23505e+06n 0m
1.2373e+06n 0.019119m
1.2373e+06n 0.245864m
1.23731e+06n 1.05691m
1.23731e+06n 1.05926m
1.23732e+06n 0.285108m
1.23732e+06n 0.0171065m
1.23738e+06n 0m
1.23903e+06n 0m
1.24162e+06n 0.0418454m
1.24163e+06n 0.705012m
1.24163e+06n 2.74439m
1.24164e+06n 2.77854m
1.24164e+06n 0.717064m
1.24165e+06n 0.0421802m
1.24165e+06n 0.000334764m
1.2417e+06n 0m
1.24321e+06n 0.0160537m
1.24321e+06n 0.342813m
1.24322e+06n 1.31607m
1.24322e+06n 1.31874m
1.24323e+06n 0.327762m
1.24323e+06n 0.0227427m
1.24329e+06n 0m
1.24376e+06n 0.0160387m
1.24377e+06n 0.345501m
1.24377e+06n 1.32486m
1.24378e+06n 1.30816m
1.24378e+06n 0.326121m
1.24379e+06n 0.0197143m
1.24379e+06n 0.00033414m
1.24385e+06n 0m
1.24624e+06n 0.0323664m
1.24625e+06n 0.491168m
1.24625e+06n 1.97034m
1.24626e+06n 1.96567m
1.24626e+06n 0.508519m
1.24627e+06n 0.0370378m
1.24632e+06n 0m
1.24603e+06n 0.0146735m
1.24604e+06n 0.199759m
1.24604e+06n 0.791366m
1.24605e+06n 0.780028m
1.24605e+06n 0.204428m
1.24606e+06n 0.00933765m
1.24606e+06n 0.000333488m
1.24612e+06n 0m
1.24603e+06n 0.00300083m
1.24604e+06n 0.0656849m
1.24604e+06n 0.258405m
1.24605e+06n 0.270408m
1.24605e+06n 0.065018m
1.24606e+06n 0.00433453m
1.24611e+06n 0m
1.24866e+06n 0.0113312m
1.24866e+06n 0.167968m
1.24867e+06n 0.657876m
1.24867e+06n 0.646545m
1.24868e+06n 0.171301m
1.24868e+06n 0.0109979m
1.24869e+06n 0.000333271m
1.24874e+06n 0m
1.24956e+06n 0.00499767m
1.24956e+06n 0.0939562m
1.24957e+06n 0.412474m
1.24957e+06n 0.389152m
1.24958e+06n 0.0926235m
1.24958e+06n 0.0059972m
1.24959e+06n 0.000333178m
1.24964e+06n 0m
1.25159e+06n 0.0129855m
1.25159e+06n 0.234405m
1.2516e+06n 0.944279m
1.2516e+06n 0.88934m
1.25161e+06n 0.234738m
1.25161e+06n 0.0149833m
1.25167e+06n 0m
1.25318e+06n 0.0136413m
1.25319e+06n 0.275155m
1.25319e+06n 1.05204m
1.2532e+06n 1.05437m
1.2532e+06n 0.251532m
1.25321e+06n 0.0146394m
1.25326e+06n 0m
1.25511e+06n 0.107233m
1.25511e+06n 1.89179m
1.25512e+06n 7.52548m
1.25512e+06n 7.36694m
1.25513e+06n 1.85406m
1.25513e+06n 0.116831m
1.25514e+06n 0.000992894m
1.25519e+06n 0m
1.2556e+06n 0.0439291m
1.25561e+06n 0.737217m
1.25561e+06n 2.8402m
1.25562e+06n 2.87884m
1.25562e+06n 0.719381m
1.25563e+06n 0.0455806m
1.25563e+06n 0.000990883m
1.25569e+06n 0m
1.25791e+06n 0.0214474m
1.25792e+06n 0.365596m
1.25792e+06n 1.39606m
1.25793e+06n 1.45347m
1.25793e+06n 0.367576m
1.25794e+06n 0.0244171m
1.25794e+06n 0.00032996m
1.258e+06n 0m
1.25942e+06n 0.0148359m
1.25942e+06n 0.290454m
1.25942e+06n 1.17402m
1.25943e+06n 1.16841m
1.25944e+06n 0.300345m
1.25944e+06n 0.0187922m
1.25944e+06n 0.000329687m
1.2595e+06n 0m
1.25949e+06n 0.000988971m
1.2595e+06n 0.0332953m
1.2595e+06n 0.129555m
1.25951e+06n 0.130215m
1.25951e+06n 0.033625m
1.25952e+06n 0.00197794m
1.25957e+06n 0m
1.25904e+06n 0.00856714m
1.25904e+06n 0.1664m
1.25905e+06n 0.660329m
1.25905e+06n 0.641218m
1.25906e+06n 0.160799m
1.25906e+06n 0.0102147m
1.25912e+06n 0m
1.26336e+06n 0.0443976m
1.26337e+06n 0.701811m
1.26337e+06n 2.69543m
1.26338e+06n 2.73983m
1.26338e+06n 0.680434m
1.26339e+06n 0.0437399m
1.26345e+06n 0m
1.26543e+06n 0.0266069m
1.26544e+06n 0.419797m
1.26544e+06n 1.66014m
1.26545e+06n 1.69397m
1.26545e+06n 0.437535m
1.26546e+06n 0.0315341m
1.26546e+06n 0.000656959m
1.26552e+06n 0m
1.26762e+06n 0.0167387m
1.26763e+06n 0.317378m
1.26763e+06n 1.13692m
1.26764e+06n 1.17958m
1.26764e+06n 0.288496m
1.26765e+06n 0.0144412m
1.26765e+06n 0.000328209m
1.26771e+06n 0m
1.27146e+06n 0m
1.27369e+06n 0.012136m
1.27369e+06n 0.225991m
1.2737e+06n 0.921022m
1.2737e+06n 0.879038m
1.27371e+06n 0.240423m
1.27371e+06n 0.017056m
1.27372e+06n 0.000327999m
1.27377e+06n 0m
1.27596e+06n 0.00557446m
1.27596e+06n 0.104275m
1.27597e+06n 0.390212m
1.27597e+06n 0.38103m
1.27598e+06n 0.0977169m
1.27598e+06n 0.00459073m
1.27599e+06n 0.000327909m
1.27604e+06n 0m
1.27804e+06n 0.00590021m
1.27804e+06n 0.128493m
1.27805e+06n 0.517252m
1.27805e+06n 0.517907m
1.27806e+06n 0.129477m
1.27806e+06n 0.0118004m
1.27807e+06n 0.000327789m
1.27812e+06n 0m
1.27868e+06n 0.0868507m
1.27868e+06n 1.39026m
1.27869e+06n 5.43437m
1.27869e+06n 5.60938m
1.2787e+06n 1.42487m
1.2787e+06n 0.0907688m
1.27871e+06n 0.00163253m
1.27876e+06n 0m
1.28295e+06n 0.0156638m
1.28295e+06n 0.193513m
1.28296e+06n 0.788736m
1.28296e+06n 0.767524m
1.28297e+06n 0.182744m
1.28297e+06n 0.00946352m
1.28298e+06n 0.000326328m
1.28303e+06n 0m
1.2854e+06n 0.0179366m
1.28541e+06n 0.225675m
1.28541e+06n 0.881178m
1.28542e+06n 0.90792m
1.28542e+06n 0.236764m
1.28543e+06n 0.0130448m
1.28549e+06n 0m
1.286e+06n 0.00749805m
1.28601e+06n 0.130727m
1.28601e+06n 0.513127m
1.28602e+06n 0.513779m
1.28602e+06n 0.128771m
1.28603e+06n 0.00978006m
1.28603e+06n 0.000326002m
1.28609e+06n 0m
1.28883e+06n 0.221647m
1.28884e+06n 3.67153m
1.28884e+06n 14.6261m
1.28885e+06n 14.6658m
1.28885e+06n 3.6825m
1.28886e+06n 0.225841m
1.28886e+06n 0.00258104m
1.28892e+06n 0m
1.29082e+06n 0.0421887m
1.29082e+06n 0.658916m
1.29083e+06n 2.52617m
1.29083e+06n 2.53776m
1.29084e+06n 0.633474m
1.29084e+06n 0.0412225m
1.29085e+06n 0.000966153m
1.2909e+06n 0m
1.29161e+06n 0.0212363m
1.29162e+06n 0.306318m
1.29162e+06n 1.27933m
1.29163e+06n 1.27965m
1.29163e+06n 0.310179m
1.29164e+06n 0.020271m
1.29164e+06n 0.000321762m
1.29169e+06n 0m
1.29207e+06n 0m
1.29219e+06n 0.00996926m
1.29219e+06n 0.191346m
1.2922e+06n 0.748981m
1.2922e+06n 0.759915m
1.29221e+06n 0.206139m
1.29221e+06n 0.0131852m
1.29227e+06n 0m
1.29339e+06n 0.0622043m
1.29339e+06n 1.0392m
1.2934e+06n 4.1834m
1.2934e+06n 4.15999m
1.29341e+06n 1.06741m
1.29341e+06n 0.0679758m
1.29347e+06n 0m
1.2954e+06n 0.0147402m
1.29541e+06n 0.229115m
1.29541e+06n 0.891144m
1.29542e+06n 0.860382m
1.29542e+06n 0.232639m
1.29543e+06n 0.0150607m
1.29548e+06n 0m
1.29804e+06n 0.0969806m
1.29805e+06n 1.59061m
1.29805e+06n 6.31267m
1.29806e+06n 6.22399m
1.29806e+06n 1.62474m
1.29807e+06n 0.0995328m
1.29807e+06n 0.00127606m
1.29812e+06n 0m
1.29959e+06n 0.0124339m
1.2996e+06n 0.22094m
1.2996e+06n 0.896513m
1.29961e+06n 0.860487m
1.29961e+06n 0.222534m
1.29962e+06n 0.0178537m
1.29962e+06n 0.000318817m
1.29967e+06n 0m
1.30043e+06n 0.00924076m
1.30044e+06n 0.205527m
1.30044e+06n 0.747864m
1.30045e+06n 0.750413m
1.30045e+06n 0.188002m
1.30046e+06n 0.010834m
1.30051e+06n 0m
1.30225e+06n 0.02069m
1.30226e+06n 0.382924m
1.30226e+06n 1.48554m
1.30227e+06n 1.53583m
1.30227e+06n 0.369873m
1.30228e+06n 0.0245097m
1.30233e+06n 0m
1.3047e+06n 0.0238456m
1.30471e+06n 0.402513m
1.30471e+06n 1.64312m
1.30472e+06n 1.62436m
1.30472e+06n 0.411098m
1.30473e+06n 0.0282967m
1.30479e+06n 0m
1.30736e+06n 0.014934m
1.30736e+06n 0.220196m
1.30737e+06n 0.875066m
1.30737e+06n 0.88301m
1.30738e+06n 0.217019m
1.30738e+06n 0.013663m
1.30739e+06n 0.000317744m
1.30744e+06n 0m
1.30867e+06n 0.0222263m
1.30867e+06n 0.247347m
1.30868e+06n 0.982085m
1.30868e+06n 1.01574m
1.30869e+06n 0.255285m
1.30869e+06n 0.0168285m
1.3087e+06n 0.000635037m
1.30875e+06n 0m
1.31151e+06n 0.0215703m
1.31152e+06n 0.331802m
1.31152e+06n 1.3916m
1.31153e+06n 1.37542m
1.31153e+06n 0.345759m
1.31154e+06n 0.0228391m
1.3116e+06n 0m
1.31345e+06n 0.0345179m
1.31346e+06n 0.600421m
1.31346e+06n 2.39377m
1.31347e+06n 2.3412m
1.31347e+06n 0.609288m
1.31348e+06n 0.0370513m
1.31348e+06n 0.000316678m
1.31354e+06n 0m
1.3154e+06n 0.0155076m
1.3154e+06n 0.224386m
1.31541e+06n 0.885834m
1.31541e+06n 0.857984m
1.31542e+06n 0.219006m
1.31542e+06n 0.0123428m
1.31548e+06n 0m
1.3179e+06n 0.0297022m
1.3179e+06n 0.565605m
1.31791e+06n 2.23746m
1.31791e+06n 2.25705m
1.31792e+06n 0.563077m
1.31792e+06n 0.032862m
1.31793e+06n 0.0015799m
1.31798e+06n 0m
1.3196e+06n 0.0145261m
1.3196e+06n 0.211577m
1.31961e+06n 0.872201m
1.31961e+06n 0.889253m
1.31962e+06n 0.210945m
1.31962e+06n 0.0116841m
1.31963e+06n 0.000315786m
1.31968e+06n 0m
1.32138e+06n 0.114676m
1.32139e+06n 1.83639m
1.32139e+06n 7.16743m
1.3214e+06n 7.21581m
1.3214e+06n 1.77544m
1.32141e+06n 0.109021m
1.32141e+06n 0.00251345m
1.32146e+06n 0m
1.32239e+06n 0.0172694m
1.3224e+06n 0.216653m
1.3224e+06n 0.864413m
1.32241e+06n 0.871006m
1.32241e+06n 0.214141m
1.32242e+06n 0.0141295m
1.32248e+06n 0m
1.32625e+06n 0.0131783m
1.32625e+06n 0.243485m
1.32626e+06n 0.981471m
1.32626e+06n 1.01159m
1.32627e+06n 0.245682m
1.32627e+06n 0.0138059m
1.32628e+06n 0.00031377m
1.32633e+06n 0m
1.32641e+06n 0.0100345m
1.32642e+06n 0.220759m
1.32642e+06n 0.884916m
1.32643e+06n 0.857008m
1.32643e+06n 0.210724m
1.32644e+06n 0.0112888m
1.32649e+06n 0m
1.32805e+06n 0.0025084m
1.32806e+06n 0.0301008m
1.32806e+06n 0.12103m
1.32807e+06n 0.128242m
1.32807e+06n 0.0288466m
1.32808e+06n 0.00282195m
1.32813e+06n 0m
1.32969e+06n 0.0112829m
1.32969e+06n 0.155453m
1.3297e+06n 0.586083m
1.3297e+06n 0.659421m
1.32971e+06n 0.14511m
1.32971e+06n 0.00908898m
1.32977e+06n 0m
1.33186e+06n 0.0241012m
1.33186e+06n 0.460427m
1.33187e+06n 1.86706m
1.33187e+06n 1.8608m
1.33188e+06n 0.457923m
1.33188e+06n 0.0247272m
1.33194e+06n 0m
1.33334e+06n 0.0652071m
1.33334e+06n 1.16718m
1.33335e+06n 4.49711m
1.33335e+06n 4.57386m
1.33336e+06n 1.16468m
1.33336e+06n 0.073007m
1.33337e+06n 0.000311996m
1.33342e+06n 0m
1.33408e+06n 0.0137195m
1.33409e+06n 0.215146m
1.33409e+06n 0.863703m
1.3341e+06n 0.850919m
1.3341e+06n 0.225436m
1.33411e+06n 0.0137195m
1.33417e+06n 0m
1.33558e+06n 0.00467587m
1.33559e+06n 0.0919588m
1.33559e+06n 0.379369m
1.3356e+06n 0.361912m
1.3356e+06n 0.0922705m
1.33561e+06n 0.00436415m
1.33561e+06n 0.000623449m
1.33566e+06n 0m
1.3384e+06n 0.00280528m
1.33841e+06n 0.0345984m
1.33841e+06n 0.120939m
1.33842e+06n 0.120315m
1.33842e+06n 0.0317932m
1.33843e+06n 0.00124679m
1.33848e+06n 0m
1.33948e+06n 0.01557m
1.33949e+06n 0.359667m
1.33949e+06n 1.35272m
1.3395e+06n 1.33809m
1.3395e+06n 0.341917m
1.33951e+06n 0.017127m
1.33951e+06n 0.0003114m
1.33957e+06n 0m
1.34077e+06n 0.0323435m
1.34077e+06n 0.463383m
1.34078e+06n 1.86037m
1.34078e+06n 1.81808m
1.34079e+06n 0.463383m
1.34079e+06n 0.0270566m
1.3408e+06n 0.000310995m
1.34085e+06n 0m
1.34257e+06n 0.0177114m
1.34257e+06n 0.305443m
1.34258e+06n 1.22177m
1.34258e+06n 1.22146m
1.34259e+06n 0.32564m
1.34259e+06n 0.0149148m
1.3426e+06n 0.000310726m
1.34265e+06n 0m
1.34354e+06n 0.0136636m
1.34355e+06n 0.211476m
1.34355e+06n 0.873231m
1.34356e+06n 0.852425m
1.34356e+06n 0.210544m
1.34357e+06n 0.012111m
1.34357e+06n 0.000310537m
1.34363e+06n 0m
1.3443e+06n 0.0210983m
1.3443e+06n 0.322059m
1.34431e+06n 1.20012m
1.34431e+06n 1.22029m
1.34432e+06n 0.32299m
1.34432e+06n 0.0152032m
1.34433e+06n 0.000310269m
1.34438e+06n 0m
1.34548e+06n 0.0195267m
1.34549e+06n 0.363258m
1.34549e+06n 1.49735m
1.3455e+06n 1.43536m
1.3455e+06n 0.379685m
1.34551e+06n 0.023246m
1.34551e+06n 0.000619894m
1.34557e+06n 0m
1.34735e+06n 0.0318805m
1.34736e+06n 0.484398m
1.34736e+06n 1.9608m
1.34737e+06n 1.95369m
1.34737e+06n 0.492755m
1.34738e+06n 0.0272377m
