2.5n 0.6272m
160520n 0.031111m
160578n 0m
161617n 0.0225817m
161622n 0.429053m
161627n 1.6654m
161632n 1.67105m
161637n 0.420585m
161642n 0.0254044m
161699n 0m
162420n 0.0197332m
162425n 0.280493m
162430n 1.08532m
162435n 1.12479m
162440n 0.28754m
162445n 0.0211427m
162502n 0m
164468n 0.11468m
164473n 1.70062m
164478n 6.51578m
164483n 6.54934m
164488n 1.79432m
164493n 0.107687m
164550n 0m
168117n 0m
170063n 0.0570438m
170068n 1.13809m
170073n 4.36733m
170078n 4.42994m
170083n 1.06714m
170088n 0.0640004m
170093n 0.00556525m
170146n 0m
175135n 0.106239m
175140n 1.86402m
175145n 7.06699m
175150n 7.02008m
175155n 1.7702m
175160n 0.106239m
175165n 0.00137973m
175218n 0m
179057n 0.162215m
179062n 2.60362m
179067n 10.2618m
179072n 10.1732m
179077n 2.54092m
179082n 0.149947m
179087n 0.00408946m
179140n 0m
181623n 0.0853925m
181628n 1.18872m
181633n 4.75351m
181638n 4.82129m
181643n 1.25378m
181648n 0.0921696m
181653n 0.00271087m
181705n 0m
183599n 0.0243519m
183604n 0.373396m
183609n 1.59099m
183614n 1.58423m
183619n 0.458627m
183624n 0.0257048m
183629n 0.00135288m
183682n 0m
185316n 0.00676017m
185322n 0.141964m
185326n 0.570559m
185332n 0.486732m
185336n 0.137908m
185342n 0.00811221m
185399n 0m
186082n 0.0858836m
186087n 1.49625m
186092n 6.5124m
186097n 6.28561m
186102n 1.61703m
186107n 0.106013m
186164n 0m
186360n 0.0840186m
186365n 1.32696m
186370n 5.15047m
186375n 5.36385m
186380n 1.32829m
186385n 0.0813513m
186442n 0m
187913n 1.29716m
187918n 22.1055m
187923n 87.2542m
187928n 87.5318m
187933n 21.8447m
187938n 1.29716m
187943n 0.0263261m
187995n 0m
189743n 0.0322377m
189748n 0.494311m
189753n 1.82322m
189758n 1.90202m
189763n 0.501475m
189768n 0.0226858m
189825n 0m
193324n 0.119402m
193329n 2.05939m
193334n 8.54729m
193339n 8.23874m
193344n 2.15396m
193349n 0.148957m
193354n 0.00827539m
193407n 0m
197523n 0.0165326m
197528n 0.240904m
197533n 0.908114m
197538n 0.943541m
197543n 0.240904m
197548n 0.0106281m
197553n 0.0011809m
197605n 0m
199147n 0.431944m
199152n 6.68827m
199157n 27.6524m
199162n 27.5827m
199167n 6.90082m
199172n 0.434229m
199177n 0.0102844m
199230n 0m
200123n 0.0364122m
200128n 0.935339m
200133n 3.6196m
200138n 3.56726m
200143n 0.884134m
200148n 0.0591699m
200206n 0m
203797n 0.126045m
203802n 2.2992m
203807n 9.27333m
203812n 9.43426m
203817n 2.35209m
203822n 0.145177m
203879n 0m
205285n 0.0370416m
205290n 0.573584m
205295n 2.26178m
205300n 2.15515m
205305n 0.544399m
205310n 0.040409m
205368n 0m
205976n 0.0525101m
205981n 1.00775m
205986n 3.93602m
205991n 3.95278m
205996n 1.03344m
206001n 0.0703859m
206058n 0m
208437n 0.0964m
208442n 1.74074m
208447n 6.92085m
208452n 7.08152m
208457n 1.78617m
208462n 0.0986161m
208467n 0.00221609m
208520n 0m
210754n 0.113197m
210759n 1.71994m
210764n 6.91714m
210769n 7.01165m
210774n 1.70566m
210779n 0.110999m
210784n 0.00219801m
210836n 0m
211436n 0.147583m
211441n 2.6489m
211446n 10.766m
211451n 10.664m
211456n 2.69556m
211461n 0.204012m
211466n 0.00217034m
211518n 0m
211628n 0.080899m
211633n 1.22103m
211638n 5.21313m
211643n 5.09663m
211648n 1.25987m
211653n 0.0679551m
211658n 0.00323596m
211711n 0m
211944n 0.906426m
211949n 14.8341m
211954n 59.0512m
211959n 58.9579m
211964n 14.9194m
211969n 0.874305m
211974n 0.00602277m
211979n 0.00100379m
212027n 0m
212606n 0.0628875m
212611n 1.15993m
212616n 4.73653m
212621n 4.73753m
212626n 1.19586m
212631n 0.0848483m
212636n 0.000998215m
212688n 0m
215735n 0.0832715m
215740n 1.44833m
215745n 5.76358m
215750n 6.03322m
215755n 1.4513m
215760n 0.0892195m
215817n 0m
218402n 0.118911m
218407n 1.95074m
218412n 7.37447m
218417n 7.31354m
218422n 1.80529m
218427n 0.10417m
218432n 0.00294822m
218485n 0m
220391n 0.0157023m
220396n 0.301289m
220401n 1.11683m
220406n 1.20025m
220411n 0.292456m
220416n 0.0176651m
220474n 0m
222590n 0.0887413m
222595n 1.33697m
222600n 5.4415m
222605n 5.34983m
222610n 1.36037m
222615n 0.0711881m
222620n 0.00292554m
222673n 0m
225803n 0.0514981m
225808n 0.789961m
225813n 3.03256m
225818n 3.08503m
225823n 0.764698m
225828n 0.0485831m
225886n 0m
228203n 0.0145552m
228208n 0.259083m
228213n 1.19062m
228218n 1.18091m
228223n 0.253261m
228228n 0.0116442m
228233n 0.000970349m
228286n 0m
229860n 0.127m
229866n 1.83861m
229870n 7.18606m
229876n 7.19953m
229880n 1.82802m
229886n 0.0981361m
229890n 0.00192424m
229943n 0m
232695n 0.00769008m
232700n 0.195136m
232705n 0.760357m
232710n 0.737286m
232715n 0.209555m
232720n 0.0124964m
232777n 0m
234538n 0.0440803m
234543n 0.674621m
234548n 2.70711m
234553n 2.61511m
234558n 0.635332m
234563n 0.0316228m
234621n 0m
236284n 0.00957417m
236289n 0.181909m
236294n 0.80423m
236299n 0.722849m
236304n 0.182867m
236309n 0.0134038m
236366n 0m
238574n 0.0333909m
238579n 0.742232m
238584n 3.09772m
238589n 2.97942m
238594n 0.730784m
238599n 0.0486553m
238657n 0m
241058n 0.0228663m
241063n 0.296309m
241068n 1.15284m
241073n 1.09853m
241078n 0.278206m
241083n 0.00952761m
241140n 0m
244715n 0.0577863m
244720n 1.2173m
244725n 4.76595m
244730n 4.96678m
244735n 1.22204m
244740n 0.0833638m
244797n 0m
245850n 0.0687912m
245856n 1.07427m
245860n 4.50441m
245866n 4.4752m
245870n 1.12328m
245876n 0.0612525m
245933n 0m
247481n 0.0103522m
247486n 0.282333m
247491n 1.11051m
247496n 1.10957m
247501n 0.290803m
247506n 0.0197633m
247563n 0m
249016n 0.0618433m
249021n 0.926712m
249026n 3.73402m
249031n 3.67405m
249036n 0.908909m
249041n 0.0618433m
249046n 0.000937019m
249099n 0m
250478n 0.0140431m
250483n 0.158219m
250488n 0.742411m
250493n 0.773306m
250498n 0.176007m
250503n 0.00842585m
250561n 0m
252057n 0m
253543n 0.128028m
253548n 1.92135m
253553n 7.66036m
253558n 7.73737m
253563n 1.90836m
253568n 0.126173m
253626n 0m
255882n 0.025921m
255887n 0.469355m
255892n 1.79503m
255897n 1.81539m
255902n 0.493424m
255907n 0.0268467m
255965n 0m
257487n 0.111932m
257492n 1.94504m
257497n 7.61227m
257502n 7.51777m
257507n 1.94504m
257512n 0.133034m
257517n 0.000917473m
257570n 0m
258694n 0.336238m
258699n 5.37981m
258704n 21.4021m
258709n 21.5371m
258714n 5.49785m
258719n 0.382739m
258724n 0.007154m
258776n 0m
261892n 0.0240948m
261897n 0.471187m
261902n 1.74553m
261907n 1.74464m
261912n 0.455123m
261917n 0.0214176m
261974n 0m
263577n 0.0453247m
263582n 0.878943m
263587n 3.52821m
263592n 3.53177m
263597n 0.834507m
263602n 0.0675426m
263607n 0.000888719m
263659n 0m
266499n 0.332824m
266504n 5.84992m
266509n 23.3357m
266514n 23.0919m
266519n 5.82831m
266524n 0.333688m
266529n 0.00518687m
266582n 0m
268334n 0.0985845m
268340n 1.82338m
268344n 7.08351m
268350n 7.11609m
268354n 1.77452m
268360n 0.101156m
268364n 0.00428628m
268417n 0m
271801n 0.191155m
271806n 2.85548m
271811n 11.3196m
271816n 11.3839m
271821n 2.80473m
271826n 0.197921m
271831n 0.00253745m
271884n 0m
274098n 0.032053m
274103n 0.62166m
274108n 2.33818m
274113n 2.30613m
274118n 0.575267m
274123n 0.028679m
274128n 0.001687m
274180n 0m
276736n 0.00505902m
276741n 0.0767285m
276746n 0.312816m
276751n 0.349072m
276756n 0.0935919m
276761n 0.00505902m
276819n 0m
278885n 0.0612638m
278890n 1.00624m
278895n 3.97208m
278900n 3.96284m
278905n 1.01631m
278910n 0.0520323m
278967n 0m
280218n 0.0517902m
280223n 1.00072m
280228n 3.91351m
280233n 3.98618m
280238n 1.0191m
280243n 0.0517902m
280248n 0.000835327m
280300n 0m
280788n 0.0499261m
280793n 0.840423m
280798n 3.2402m
280803n 3.31426m
280808n 0.826277m
280813n 0.0482619m
280818n 0.000832102m
280870n 0m
283090n 0.00997751m
283095n 0.161303m
283100n 0.64355m
283105n 0.657685m
283110n 0.182921m
283115n 0.00748314m
283172n 0m
283774n 0.526795m
283779n 8.40953m
283784n 32.8148m
283789n 32.7053m
283794n 8.16492m
283799n 0.495619m
283804n 0.0127902m
283857n 0m
287241n 0.110094m
287246n 1.98327m
287251n 7.76596m
287256n 7.81903m
287261n 2.00228m
287266n 0.119598m
287271n 0.000792041m
287324n 0m
292157n 0.125619m
292162n 1.87407m
292167n 7.44133m
292172n 7.40364m
292177n 1.87564m
292182n 0.122478m
292240n 0m
295512n 0.0718381m
295517n 1.16893m
295522n 4.61091m
295527n 4.62575m
295532n 1.15956m
295537n 0.0733998m
295542n 0.000780849m
295595n 0m
296821n 0.0521092m
296826n 0.862524m
296831n 3.37465m
296836n 3.36999m
296841n 0.848524m
296846n 0.0458872m
296903n 0m
297681n 0.0627035m
297686n 1.02648m
297691n 3.97974m
297696n 3.94645m
297701n 0.984677m
297706n 0.0619294m
297711n 0.000774117m
297763n 0m
300413n 0.0462974m
300418n 0.705263m
300423n 2.68139m
300428n 2.81719m
300433n 0.639675m
300438n 0.053242m
300443n 0.00154325m
300496n 0m
303104n 0.108753m
303109n 1.62899m
303114n 6.30613m
303119n 6.35055m
303124n 1.60602m
303129n 0.0811816m
303134n 0.000765864m
303186n 0m
306143n 0.0359063m
306148n 0.493521m
306153n 2.10396m
306158n 2.14139m
306163n 0.539358m
306168n 0.0320865m
306173n 0.00152793m
306225n 0m
307858n 0.0068708m
307863n 0.172534m
307868n 0.592416m
307873n 0.591653m
307878n 0.154211m
307883n 0.00916107m
307940n 0m
308989n 0.00610306m
308994n 0.168597m
308999n 0.588945m
309004n 0.605728m
309009n 0.149525m
309014n 0.00686594m
309071n 0m
311675n 0.0342328m
311680n 0.596411m
311685n 2.4716m
311690n 2.34m
311695n 0.607061m
311700n 0.0349935m
311705n 0.000760728m
311757n 0m
312864n 0.0484642m
312868n 0.985186m
312874n 3.91121m
312878n 3.8529m
312884n 0.979885m
312888n 0.062852m
312894n 0.00151451m
312946n 0m
314709n 0.0113468m
314714n 0.226937m
314719n 0.87068m
314724n 0.90926m
314729n 0.233745m
314734n 0.0173985m
314792n 0m
316947n 0.00831517m
316952n 0.152697m
316957n 0.613811m
316962n 0.572991m
316967n 0.151941m
316972n 0.0120948m
317030n 0m
319017n 0.0459502m
319022n 0.797726m
319027n 2.99581m
319032n 2.97321m
319037n 0.674941m
319042n 0.0436904m
319047n 0.00150657m
319100n 0m
321797n 0.053991m
321802n 1.04083m
321807n 3.79062m
321812n 3.87386m
321817n 0.936594m
321822n 0.0517414m
321827n 0.000749875m
321880n 0m
324053n 0.121877m
324058n 1.93294m
324063n 7.49989m
324068n 7.70277m
324073n 1.94409m
324078n 0.112959m
324083n 0.00222946m
324136n 0m
328376n 0.0614064m
328381n 0.974364m
328386n 3.7702m
328391n 3.80424m
328396n 0.949209m
328401n 0.0554877m
328406n 0.00221951m
328458n 0m
330905n 0.363267m
330910n 5.87341m
330915n 23.5562m
330920n 23.521m
330925n 6.02807m
330930n 0.356073m
330935n 0.00215802m
330988n 0m
333390n 0.0129395m
333395n 0.149523m
333400n 0.567899m
333405n 0.572212m
333410n 0.126519m
333415n 0.00862632m
333473n 0m
333556n 0.239225m
333561n 3.86218m
333566n 15.6075m
333571n 15.6054m
333576n 3.94404m
333581n 0.254044m
333586n 0.00282271m
333638n 0m
333442n 0.0176189m
333447n 0.28754m
333452n 1.11351m
333457n 1.11492m
333462n 0.266397m
333467n 0.0169141m
333472n 0.00140951m
333525n 0m
338207n 0.0197009m
338212n 0.35321m
338217n 1.37625m
338222n 1.39666m
338227n 0.347581m
338232n 0.023219m
338237n 0.000703605m
338290n 0m
339632n 0.0140537m
339637n 0.286696m
339642n 1.14327m
339647n 1.09338m
339652n 0.259291m
339657n 0.0140537m
339715n 0m
341848n 0.0182461m
341853n 0.263866m
341858n 1.12775m
341863n 1.10669m
341868n 0.275095m
341873n 0.0147372m
341878n 0.000701772m
341930n 0m
344052n 0.00420926m
344057n 0.0638404m
344062n 0.307977m
344067n 0.263079m
344072n 0.0603327m
344077n 0.00140309m
344134n 0m
346104n 0.0475347m
346109n 0.737487m
346114n 3.04712m
346119n 3.03803m
346124n 0.761954m
346129n 0.0559232m
346134n 0.00069904m
346187n 0m
348685n 0.0695207m
348690n 1.2034m
348695n 4.58419m
348700n 4.71142m
348705n 1.17351m
348710n 0.0750823m
348767n 0m
349168n 0.0325801m
349173n 0.633579m
349178n 2.46638m
349183n 2.45737m
349188n 0.607238m
349193n 0.0402053m
349198n 0.000693194m
349251n 0m
350015n 0.0682967m
350020n 1.00306m
350025n 4.09711m
350030n 4.04882m
350035n 1.05894m
350040n 0.0689866m
350045n 0.000689866m
350097n 0m
351571n 0.207421m
351576n 3.06439m
351581n 12.0638m
351586n 12.0855m
351591n 3.00727m
351596n 0.166617m
351601n 0.00544056m
351653n 0m
353601n 0.133308m
353606n 2.18544m
353611n 8.4307m
353616n 8.50745m
353621n 2.14908m
353626n 0.135327m
353631n 0.00269308m
353683n 0m
