time	V(-1)
2.197516974759766e-008	2.382533e-004
2.200509190301217e-008	1.768682e-004
2.203394842244634e-008	1.029306e-004
2.206125936680354e-008	2.216820e-005
2.208905484266643e-008	-6.721899e-005
2.211587684042575e-008	-1.565064e-004
2.215067524558787e-008	-2.708274e-004
2.218283962782371e-008	-3.688895e-004
2.221869469742552e-008	-4.633961e-004
2.224987006181948e-008	-5.273190e-004
2.228448668143241e-008	-5.734164e-004
2.231784858226125e-008	-5.914853e-004
2.234979844726723e-008	-5.827484e-004
2.237818134500178e-008	-5.524349e-004
2.240926188150164e-008	-4.963856e-004
2.243895293381742e-008	-4.235681e-004
2.246801763164734e-008	-3.357918e-004
2.249970502798755e-008	-2.263973e-004
2.252579439689442e-008	-1.286223e-004
2.255355198609389e-008	-2.012387e-005
2.258157792752678e-008	8.993973e-005
2.260928859122205e-008	1.954131e-004
2.264147605082102e-008	3.094506e-004
2.267327934171981e-008	4.089083e-004
2.270765249451965e-008	4.977874e-004
2.273907560704484e-008	5.593145e-004
2.276995613260857e-008	5.990428e-004
2.279947945534036e-008	6.184733e-004
2.282155924018394e-008	6.196641e-004
2.284958632178390e-008	6.055634e-004
2.287647976540126e-008	5.787079e-004
2.290254299101436e-008	5.407927e-004
2.292749587111994e-008	4.945156e-004
2.296173227912554e-008	4.197921e-004
2.299483729976505e-008	3.398196e-004
2.302446887765316e-008	2.642287e-004
2.305312381308539e-008	1.904715e-004
2.308347750582336e-008	1.145521e-004
2.311491773602408e-008	4.040347e-005
2.314102412407856e-008	-1.580580e-005
2.317148665484953e-008	-7.403000e-005
2.319967462078038e-008	-1.207552e-004
2.322567837048201e-008	-1.570860e-004
2.325202100079721e-008	-1.874627e-004
2.327809301297342e-008	-2.117221e-004
2.330446958203962e-008	-2.308783e-004
2.333510575222892e-008	-2.475459e-004
2.337236929245659e-008	-2.624597e-004
2.340343726696755e-008	-2.718072e-004
2.343728115774379e-008	-2.802025e-004
2.346679519389955e-008	-2.871968e-004
2.349569839283229e-008	-2.943811e-004
2.352594733696408e-008	-3.025168e-004
2.355453985993447e-008	-3.106540e-004
2.358157312713185e-008	-3.182944e-004
2.361236728645251e-008	-3.261440e-004
2.363770077838484e-008	-3.309925e-004
2.366531814733198e-008	-3.334497e-004
2.369191319166107e-008	-3.320290e-004
2.371834518316863e-008	-3.258074e-004
2.374313500981831e-008	-3.139123e-004
2.377874005902254e-008	-2.859593e-004
2.381369775148726e-008	-2.460383e-004
2.384656128923818e-008	-1.951330e-004
2.388234844413759e-008	-1.254231e-004
2.391587456887567e-008	-4.812315e-005
2.394644487925118e-008	3.146821e-005
2.397634703985284e-008	1.156283e-004
2.400505023330586e-008	1.997940e-004
2.403448964949068e-008	2.867630e-004
2.406280548950753e-008	3.680689e-004
2.409237198443039e-008	4.474139e-004
2.412073092645842e-008	5.152569e-004
2.414865642197479e-008	5.707401e-004
2.418005483442809e-008	6.174772e-004
2.420908786864256e-008	6.431494e-004
2.424176552735449e-008	6.495938e-004
2.427312284949035e-008	6.330810e-004
2.430327085357327e-008	5.943499e-004
2.433595303385119e-008	5.289358e-004
2.436446258452803e-008	4.529225e-004
2.439544262528656e-008	3.523678e-004
2.442296247843283e-008	2.503609e-004
2.445117464138303e-008	1.356349e-004
2.448737663541885e-008	-1.937072e-005
2.452030361125253e-008	-1.623450e-004
2.454712628416257e-008	-2.763559e-004
2.457290665326516e-008	-3.797481e-004
2.460174597600669e-008	-4.844784e-004
2.463308920281920e-008	-5.821462e-004
2.466345833331171e-008	-6.571547e-004
2.469352933310547e-008	-7.095217e-004
2.472100465143612e-008	-7.352042e-004
2.475375404304369e-008	-7.379139e-004
2.478557257996698e-008	-7.134978e-004
2.481484593573041e-008	-6.669208e-004
2.484237506738794e-008	-6.027508e-004
2.487098597835602e-008	-5.178360e-004
2.489880250364365e-008	-4.205084e-004
2.492621863677666e-008	-3.131094e-004
2.495220416595158e-008	-2.037039e-004
2.497786144693389e-008	-9.134863e-005
2.501002041067167e-008	5.056230e-005
2.504120406063996e-008	1.843382e-004
2.507478288385505e-008	3.186962e-004
2.510808084672660e-008	4.371109e-004
2.514013168519890e-008	5.325733e-004
2.517148474137325e-008	6.054729e-004
2.519940305600141e-008	6.504426e-004
2.523039110794974e-008	6.775786e-004
2.525913973789147e-008	6.816603e-004
2.528814498935477e-008	6.646191e-004
2.531743417245014e-008	6.277634e-004
2.534440702952810e-008	5.774396e-004
2.537123932652366e-008	5.128234e-004
2.540167141679624e-008	4.256984e-004
2.543043349033460e-008	3.329325e-004
2.545827841322662e-008	2.358004e-004
2.548625025534656e-008	1.340872e-004
2.551830957740651e-008	1.667862e-005
2.555525218365809e-008	-1.151132e-004
2.558465250585238e-008	-2.134273e-004
2.561693351231356e-008	-3.108144e-004
2.564695724098894e-008	-3.895916e-004
2.567431218061012e-008	-4.493617e-004
2.569919966743542e-008	-4.924734e-004
2.572359084816756e-008	-5.236132e-004
2.574789349336007e-008	-5.429846e-004
2.577728624771946e-008	-5.519874e-004
2.580406501721503e-008	-5.469752e-004
2.583099686379040e-008	-5.287948e-004
2.585859766180040e-008	-4.974737e-004
2.588973610409059e-008	-4.490962e-004
2.591716387979100e-008	-3.964729e-004
2.594391964465909e-008	-3.368648e-004
2.597365807807469e-008	-2.636044e-004
2.600358841619528e-008	-1.849026e-004
2.603246894498807e-008	-1.062577e-004
2.606225110302034e-008	-2.468524e-005
2.609066176124116e-008	5.151770e-005
2.611747069149207e-008	1.202589e-004
2.614235985603941e-008	1.797745e-004
2.616877090548055e-008	2.372232e-004
2.619369392785736e-008	2.848616e-004
2.622167024255708e-008	3.298623e-004
2.624754602014285e-008	3.621928e-004
2.628076533054916e-008	3.899382e-004
2.631418031089575e-008	4.035552e-004
2.634063709265322e-008	4.023150e-004
2.637170657325925e-008	3.873480e-004
2.640037553782775e-008	3.618842e-004
2.643016837755770e-008	3.238460e-004
2.645844762325771e-008	2.782462e-004
2.648317898245244e-008	2.312184e-004
2.650913520051166e-008	1.756217e-004
2.653820234480278e-008	1.079650e-004
2.656394981981209e-008	4.454206e-005
2.659395707618936e-008	-3.165981e-005
2.662270502806151e-008	-1.048384e-004
2.665022457366068e-008	-1.730963e-004
