48002.5n 0.641895m
48007.5n 9.78162m
48012.5n 38.7818m
48017.5n 38.3927m
48022.5n 9.8092m
48027.5n 0.618915m
48032.5n 0.0137877m
48085n 0m
48502.5n 0.0944985m
48507.5n 1.48454m
48512.5n 6.0479m
48517.5n 5.98236m
48522.5n 1.55465m
48527.5n 0.0731601m
48532.5n 0.00152417m
48585n 0m
49002.5n 0.109074m
49007.5n 1.89819m
49012.5n 7.18977m
49017.5n 7.15342m
49022.5n 1.72246m
49027.5n 0.104529m
49032.5n 0.00151491m
49085n 0m
49502.5n 0.0513511m
49507.5n 0.919789m
49512.5n 3.58854m
49517.5n 3.58249m
49522.5n 0.860886m
49527.5n 0.0573924m
49532.5n 0.00151033m
49585n 0m
50002.5n 0.015088m
50007.5n 0.331937m
50012.5n 1.21157m
50017.5n 1.15574m
50022.5n 0.291199m
50027.5n 0.0105616m
50085n 0m
50502.5n 0.0706645m
50507.5n 1.02238m
50512.5n 4.21581m
50517.5n 4.0835m
50522.5n 1.05546m
50527.5n 0.075175m
50585n 0m
51002.5n 0.0629257m
51007.5n 1.06674m
51012.5n 4.0647m
51017.5n 4.19055m
51022.5n 1.03078m
51027.5n 0.0719151m
51085n 0m
51502.5n 0.0849316m
51507.5n 1.63903m
51512.5n 6.46672m
51517.5n 6.39967m
51522.5n 1.69267m
51527.5n 0.104302m
51532.5n 0.00149003m
51585n 0m
52002.5n 0.0520215m
52007.5n 0.759514m
52012.5n 2.99495m
52017.5n 2.81362m
52022.5n 0.756541m
52027.5n 0.0505352m
52032.5n 0.00297266m
52085n 0m
52502.5n 0.0607284m
52507.5n 0.958324m
52512.5n 4.08213m
52517.5n 4.11916m
52522.5n 1.08126m
52527.5n 0.065172m
52585n 0m
53002.5n 0.0487583m
53007.5n 0.787521m
53012.5n 2.90482m
53017.5n 2.88561m
53022.5n 0.72251m
53027.5n 0.0384157m
53085n 0m
53502.5n 0.0896864m
53507.5n 1.44821m
53512.5n 5.73846m
53517.5n 5.91048m
53522.5n 1.41881m
53527.5n 0.0926269m
53532.5n 0.00294054m
53537.5n 0.00147027m
53585n 0m
54002.5n 0.0425125m
54007.5n 0.941139m
54012.5n 3.45817m
54017.5n 3.44058m
54022.5n 0.851716m
54027.5n 0.0601039m
54085n 0m
54502.5n 0.179927m
54507.5n 3.13567m
54512.5n 12.0508m
54517.5n 12.0058m
54522.5n 2.9064m
54527.5n 0.190084m
54532.5n 0.00145103m
54585n 0m
55002.5n 0.0391019m
55007.5n 0.58508m
55012.5n 2.22446m
55017.5n 2.27949m
55022.5n 0.622734m
55027.5n 0.0419983m
55085n 0m
55502.5n 0.0692131m
55507.5n 1.35831m
55512.5n 5.01651m
55517.5n 5.10735m
55522.5n 1.33812m
55527.5n 0.0850744m
55585n 0m
56002.5n 0.0100887m
56007.5n 0.131153m
56012.5n 0.569292m
56017.5n 0.562086m
56022.5n 0.161419m
56027.5n 0.00720623m
56085n 0m
56502.5n 0.650209m
56507.5n 10.168m
56512.5n 40.1681m
56517.5n 39.9482m
56522.5n 10.058m
56527.5n 0.619578m
56532.5n 0.00835386m
56585n 0m
57085n 0m
57502.5n 0.495975m
57507.5n 7.99522m
57512.5n 31.573m
57517.5n 31.4795m
57522.5n 7.91798m
57527.5n 0.481068m
57532.5n 0.00406537m
57585n 0m
58002.5n 0.0486523m
58007.5n 0.789248m
58012.5n 3.18672m
58017.5n 3.19483m
58022.5n 0.8379m
58027.5n 0.0500037m
58085n 0m
58502.5n 0.0189033m
58507.5n 0.247093m
58512.5n 1.06533m
58517.5n 1.05318m
58522.5n 0.299752m
58527.5n 0.0148526m
58532.5n 0.00135023m
58585n 0m
59002.5n 0.0579033m
59007.5n 0.771595m
59012.5n 3.2574m
59017.5n 3.12812m
59022.5n 0.811993m
59027.5n 0.0525169m
59085n 0m
59502.5n 0.0470037m
59507.5n 0.838009m
59512.5n 3.13448m
59517.5n 3.18417m
59522.5n 0.807121m
59527.5n 0.0443178m
59585n 0m
60002.5n 0.0935458m
60007.5n 1.38982m
60012.5n 5.82256m
60017.5n 5.83325m
60022.5n 1.47001m
60027.5n 0.0855276m
60032.5n 0.00133637m
60085n 0m
60502.5n 1.69217m
60507.5n 29.9419m
60512.5n 118.192m
60517.5n 117.93m
60522.5n 29.7699m
60527.5n 1.87738m
60532.5n 0.0276616m
60585n 0m
61002.5n 0.0491715m
61007.5n 0.886286m
61012.5n 3.2837m
61017.5n 3.29569m
61022.5n 0.821524m
61027.5n 0.055168m
61085n 0m
61585n 0m
62002.5n 0.153359m
62007.5n 2.60947m
62012.5n 10.4462m
62017.5n 10.0848m
62022.5n 2.70339m
62027.5n 0.15217m
62032.5n 0.00237765m
62085n 0m
62502.5n 0.532814m
62507.5n 8.28115m
62512.5n 32.7166m
62517.5n 32.6195m
62522.5n 8.49151m
62527.5n 0.559397m
62532.5n 0.00924623m
62585n 0m
63002.5n 0.247554m
63007.5n 3.88671m
63012.5n 15.1647m
63017.5n 15.37m
63022.5n 3.86846m
63027.5n 0.239569m
63032.5n 0.00570401m
63085n 0m
63502.5n 0.0591414m
63507.5n 0.856413m
63512.5n 3.56213m
63517.5n 3.66336m
63522.5n 0.899632m
63527.5n 0.0568668m
63532.5n 0.00113734m
63585n 0m
64002.5n 0.0465247m
64007.5n 0.660424m
64012.5n 2.70751m
64017.5n 2.63262m
64022.5n 0.701275m
64027.5n 0.0601417m
64085n 0m
64502.5n 0.104974m
64507.5n 1.57462m
64512.5n 6.26799m
64517.5n 6.15963m
64522.5n 1.60961m
64527.5n 0.0823993m
64532.5n 0.00112876m
64585n 0m
65002.5n 0.0797808m
65007.5n 1.36189m
65012.5n 5.34756m
65017.5n 5.32059m
65022.5n 1.29222m
65027.5n 0.0797808m
65032.5n 0.00224735m
65085n 0m
65502.5n 0.0615709m
65507.5n 1.08365m
65512.5n 4.38609m
65517.5n 4.44654m
65522.5n 1.15977m
65527.5n 0.0559736m
65532.5n 0.00111947m
65585n 0m
66002.5n 0.135612m
