% Model,One_8LayerNanosphere_CUBE_PML.mph
% Version,COMSOL 5.5.0.352
% Date,"Jun 22 2020, 19:40"
% Dimension,3
% Nodes,18450
% Expressions,4
% Description,"Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm"
% Length unit,m
% X,Y,Z,ewfd.Ex (V/m) @ lambda0=400,ewfd.Ey (V/m) @ lambda0=400,ewfd.Ez (V/m) @ lambda0=400,ewfd.normE (V/m) @ lambda0=400
-2.4396191999999995E-7,4.213409183273601E-9,2.8629769219671187E-8,0.0032384619542042297-0.023330836379382002i,-2.2628478794239706E-5-1.1715907397383679E-4i,0.017379582393756372+0.01206625177693171i,0.031664384981082025
-2.4300144E-7,3.553514245961823E-9,9.064569530708649E-9,0.01740800501289041-0.015113136506129929i,-1.4597457257990617E-4+1.0132554371478594E-5i,0.022600559472622815+0.03772637997530325i,0.04966398803529104
-2.4300144E-7,-2.1824887093389233E-9,1.1940125504220959E-8,0.019528425646800684-0.01751799955685252i,6.69817985254289E-5+1.6879056979158976E-5i,0.02178281863449533+0.03770686268383783i,0.05084782353681485
-2.4300144E-7,1.8425885369482086E-9,1.4506773471605253E-8,0.02137305136585128-0.019652387792072644i,-6.495932183951938E-5-9.103575246221726E-6i,0.02102223378169701+0.03765243360124958i,0.05199614181835842
-2.4492239999999997E-7,2.1630531831056817E-8,1.0535264984777299E-8,-0.003457934705486625-0.005647167447582464i,2.5740053966508124E-15+6.188944174316493E-16i,-3.655740518094717E-16-8.789870453152109E-17i,0.006621768087787727
-2.4396191999999995E-7,2.1630531831056833E-8,1.0535264984777294E-8,3.531971344212253E-4-0.0056431825096239i,-4.0796016189067726E-4-2.634259351758984E-4i,0.018758448758363806+0.012710358614674877i,0.023367924597136765
-2.4492239999999997E-7,2.53791287812479E-8,2.7797098327349176E-8,-0.0036886523428245367-0.022154074312010934i,0,0,0.02245905529465404
-2.4492239999999997E-7,2.157367984425098E-8,4.126682916149166E-8,-0.003696112547531563-0.03444348853277374i,-1.542246334628491E-15-1.2433278421774263E-15i,2.1627970987689444E-15+1.7436033333337473E-15i,0.03464123482601821
-2.4492239999999997E-7,1.3653067360016572E-8,2.725813160780333E-8,-0.0037069133729657486-0.0218337736270064i,-2.1895145684236673E-15-1.5539528989977925E-15i,1.4758675934116202E-15+1.0474599065901756E-15i,0.022146215874275958
-2.4396191999999995E-7,2.53791287812479E-8,2.779709832734916E-8,0.0030059337791263608-0.022244402785196175i,-1.4363827708234022E-4-7.322958143921132E-4i,0.01725874055778867+0.012018386911747826i,0.030771350777232753
